id,strain,mouse.id,dam,sire,sex,dob,date.2wk,date.3wk,date.6wk,date.9wk,sac.date,age.sac,ls,seq,mtw,tissue,recombinat,sac,gfp,rfp,mfp,ffp,tf
b231,2DB,2DFB(F2)-01-45-01,2DFB-04-19-01,2DFB-04-19-05,0,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,0,R,27.3,0.528,0.08,0.219,0.41,1.237
b232,2DB,2DFB(F2)-01-45-02,2DFB-04-19-01,2DFB-04-19-05,0,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,1,nr,29,0.437,0.086,0.233,0.446,1.202
b233,2DB,2DFB(F2)-01-45-03,2DFB-04-19-01,2DFB-04-19-05,0,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,0,nr,25.7,0.397,0.07,0.205,0.329,1.001
b234,2DB,2DFB(F2)-01-45-04,2DFB-04-19-01,2DFB-04-19-05,0,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,1,nr,28,0.428,0.073,0.239,0.429,1.169
b235,2DB,2DFB(F2)-01-45-05,2DFB-04-19-01,2DFB-04-19-05,0,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,0,nr,28.1,0.472,0.091,0.269,0.437,1.269
b236,2DB,2DFB(F2)-01-45-06,2DFB-04-19-01,2DFB-04-19-05,1,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,0,R,38.8,0.495,0.099,0.283,0.391,1.268
b237,2DB,2DFB(F2)-01-45-07,2DFB-04-19-01,2DFB-04-19-05,1,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,1,nr,35.3,0.551,0.132,0.303,0.431,1.417
b238,2DB,2DFB(F2)-01-45-08,2DFB-04-19-01,2DFB-04-19-05,1,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,0,R,38.5,0.444,0.073,0.241,0.394,1.152
b239,2DB,2DFB(F2)-01-45-09,2DFB-04-19-01,2DFB-04-19-05,1,21-Dec-06,04-Jan-07,11-Jan-07,01-Feb-07,22-Feb-07,23-Feb-07,64,9,2,36.7,0,nr,40.1,0.427,0.074,0.247,0.388,1.136
b240,2DB,2DFB(F2)-01-46-01,2DFB-04-26-04,2DFB-04-21-07,0,27-Dec-06,10-Jan-07,17-Jan-07,07-Feb-07,28-Feb-07,28-Feb-07,63,11,1,28.9,0,nr,19.4,0.38,0.064,0.154,0.352,0.95
b241,2DB,2DFB(F2)-01-46-02,2DFB-04-26-04,2DFB-04-21-07,0,27-Dec-06,10-Jan-07,17-Jan-07,07-Feb-07,28-Feb-07,28-Feb-07,63,11,1,28.9,0,nr,26.5,0.396,0.052,0.179,0.332,0.959
b242,2DB,2DFB(F2)-01-46-03,2DFB-04-26-04,2DFB-04-21-07,0,27-Dec-06,10-Jan-07,17-Jan-07,07-Feb-07,28-Feb-07,28-Feb-07,63,11,1,28.9,0,nr,25.2,0.227,0.037,0.195,0.255,0.714
b243,2DB,2DFB(F2)-01-46-04,2DFB-04-26-04,2DFB-04-21-07,0,27-Dec-06,10-Jan-07,17-Jan-07,07-Feb-07,28-Feb-07,28-Feb-07,63,11,1,28.9,0,nr,25.6,0.263,0.044,0.172,0.292,0.771
b244,2DB,2DFB(F2)-01-46-05,2DFB-04-26-04,2DFB-04-21-07,0,27-Dec-06,10-Jan-07,17-Jan-07,07-Feb-07,28-Feb-07,28-Feb-07,63,11,1,28.9,0,nr,21.2,0.311,0.053,0.152,0.327,0.843
